title,region,startYear,runtimeMinutes,genres,averageRating,numVotes,tconst,nconst,category,pname,byear,kftitles,Thriller,History,Comedy,Romance,Western,Sci-Fi,News,Family,Drama,Musical,Biography,Adventure,Horror,War,Animation,Action,Sport,Music,Documentary,Crime,Mystery,Fantasy,region_num,nconst_num,category_num
Kate et Léopold,FR,2001.0,118.0,"Comedy,Fantasy,Romance",6.4,83472,tt0035423,nm0000212,actress,Meg Ryan,1961,"tt0128853,tt0108160,tt0120632,tt0098635",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
La vérification,FR,1986.0,96.0,"Drama,War",7.9,2257,tt0067625,nm0314516,director,Aleksey German,1938,"tt2328813,tt0156701,tt0084345,tt0074447",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1
Le Parrain,FR,1972.0,175.0,"Crime,Drama",9.2,1771672,tt0068646,nm0000338,director,Francis Ford Coppola,1939,"tt0078788,tt0071562,tt0071360,tt0068646",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1
"Le Parrain, 2ᵉ partie",FR,1974.0,202.0,"Crime,Drama",9.0,1225156,tt0071562,nm0000473,actress,Diane Keaton,1946,"tt0356680,tt0337741,tt0075686,tt0073312",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0
L'interrogatoire,FR,1989.0,118.0,"Crime,Drama,Thriller",8.0,3267,tt0084548,nm0002140,actress,Agnieszka Holland,1948,"tt0099776,tt0111507,tt6828390,tt5328350",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0
Le hasard,FR,1987.0,114.0,Drama,7.7,9755,tt0084549,nm0667991,actress,Boguslawa Pawelec,1954,"tt0338481,tt0092387,tt0088083,tt0113204",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Σκιάχτρο,GR,1984.0,127.0,Drama,7.7,1618,tt0085335,nm0125909,director,Rolan Bykov,1929,"tt0060107,tt0061876,tt0060083,tt0085335",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1
Les fêtes des perce-neige,FR,1984.0,83.0,"Comedy,Drama",7.6,1486,tt0086319,nm0398703,actor,Rudolf Hrusínský,1920,"tt0283420,tt0314483,tt0083162,tt0063633",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2
Traja Veteráni,SK,1984.0,96.0,"Adventure,Comedy,Family",7.8,1136,tt0086477,nm0513792,director,Oldrich Lipský,1924,"tt0056265,tt0065235,tt0058275,tt0083162",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,35,1
2010 - L'année du premier contact (L'odyssée continue),FR,1984.0,116.0,"Adventure,Mystery,Sci-Fi",6.7,52755,tt0086837,nm0000837,actor,Bob Balaban,1945,"tt0075860,tt0280707,tt0080360,tt0310281",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,37,2
Les aventures de Buckaroo Banzaï,FR,1984.0,103.0,"Adventure,Comedy,Sci-Fi",6.3,26078,tt0086856,nm0001475,actor,John Lithgow,1945,"tt0086856,tt0084917,tt0115082,tt0106582",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,2
Amadeus - version intégrale,FR,1984.0,160.0,"Biography,Drama,Music",8.4,392224,tt0086879,nm0000719,actor,F. Murray Abraham,1939,"tt2278388,tt0086879,tt2042568,tt0113819",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,46,2
Le palace en folie,FR,1984.0,105.0,Comedy,6.3,39490,tt0086927,nm0342732,actor,George Grizzard,1928,"tt0418689,tt0086927,tt0073952,tt0055728",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2
Balkanski spijun,CA,1984.0,95.0,"Comedy,Drama",8.8,11408,tt0086935,nm0831262,actor,Danilo 'Bata' Stojkovic,1934,"tt0084302,tt0170841,tt0086935,tt0114787",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,2
Le flic de Beverly Hills,FR,1984.0,105.0,"Action,Comedy,Crime",7.3,179380,tt0086960,nm0002060,actress,Lisa Eilbacher,1956,"tt0097737,tt0084434,tt0086960,tt0085121",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,61,0
Birdy,FR,1984.0,120.0,"Drama,War",7.2,23036,tt0086969,nm0000570,director,Alan Parker,1944,"tt0095647,tt0116250,tt0101605,tt0077928",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,1
Blood Simple.,FR,1984.0,99.0,"Crime,Drama,Thriller",7.6,95130,tt0086979,nm0001053,director,Ethan Coen,1957,"tt6412452,tt2042568,tt0116282,tt1019452",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,1
Body Double,FR,1984.0,114.0,"Crime,Drama,Mystery",6.8,32883,tt0086984,nm0000361,director,Brian De Palma,1940,"tt0094226,tt0086984,tt0120832,tt0080661",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,77,1
Le Bounty,FR,1984.0,132.0,"Adventure,Drama,History",7.0,26828,tt0086993,nm0000059,actor,Laurence Olivier,1907,"tt0069281,tt0074860,tt0032976,tt0077269",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,2
Broadway Danny Rose,FR,1984.0,84.0,Comedy,7.4,25246,tt0087003,nm0000095,actor,Woody Allen,1935,"tt0097123,tt0079522,tt0075686,tt0091167",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2
Children of the corn - Les démons du maïs,FR,1984.0,92.0,"Horror,Thriller",5.6,51460,tt0087050,nm0452607,director,Fritz Kiersch,1951,"tt0104521,tt0087050,tt0473398,tt0090213",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90,1
Conan le destructeur,FR,1984.0,103.0,"Action,Adventure,Fantasy",5.9,79482,tt0087078,nm0281507,director,Richard Fleischer,1916,"tt0052365,tt0046672,tt0089893,tt0070723",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,95,1
Strangler vs. Strangler,US,1984.0,93.0,"Comedy,Crime,Horror",8.1,3644,tt0087123,nm0618705,actor,Tasko Nacic,1934,"tt0068894,tt0090399,tt0339865,tt14895146",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,100,2
Un été chez grand-père,FR,1984.0,93.0,Drama,7.7,1477,tt0087164,nm0508364,actress,Shu-Chen Li,1978,"tt10458570,tt0490517,tt0337512,tt0097791",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0
Dune,FR,1984.0,137.0,"Action,Adventure,Sci-Fi",6.3,159145,tt0087182,nm0000768,actress,Francesca Annis,1945,"tt0085811,tt0375920,tt0087182,tt0077042",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,107,0
Firestarter,FR,1984.0,114.0,"Action,Horror,Sci-Fi",6.0,32097,tt0087262,nm0504495,director,Mark L. Lester,1946,"tt0087262,tt0102915,tt0088944,tt0083739",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,112,1
Footloose,FR,1984.0,107.0,"Drama,Music,Romance",6.6,78050,tt0087277,nm0001742,actress,Lori Singer,1957,"tt0089543,tt0087277,tt0098622,tt0108122",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,117,0
Vendredi 13: Chapitre final,FR,1984.0,91.0,"Horror,Thriller",5.9,50908,tt0087298,nm0065206,actress,Kimberly Beck,1956,"tt0079822,tt0087298,tt0116629,tt0095250",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121,0
