|tconst|nconst|name|french_title|byear|job|startyear|runtimeminutes|averagerating|numvotes|wr_score|genres|original_lang
216|tt0037382|nm0000007|Humphrey Bogart|Le Port de l'angoisse|1899.0|actor,soundtrack,producer|1944.0|100.0|7.8|34046|7.796947659847836|Adventure,Comedy,Film-Noir|en
269|tt0038355|nm0001328|Howard Hawks|Le Grand Sommeil|1896.0|director,producer,writer|1946.0|114.0|7.9|84259|7.898690587625411|Crime,Film-Noir,Mystery|en
357|tt0071877|nm0001215|Albert Finney|Le Crime de l'Orient-Express|1936.0|actor,producer,soundtrack|1974.0|128.0|7.3|61173|7.298814222512083|Crime,Drama,Mystery|en
391|tt0057345|nm0000003|Brigitte Bardot|Le Mépris|1934.0|actress,soundtrack,music_department|1963.0|103.0|7.5|31387|7.4972905478457825|Drama,Romance|fr
392|tt0057345|nm0000419|Jean-Luc Godard|Le Mépris|1930.0|director,writer,editor|1963.0|103.0|7.5|31387|7.4972905478457825|Drama,Romance|fr
393|tt0057345|nm0000485|Fritz Lang|Le Mépris|1890.0|director,writer,producer|1963.0|103.0|7.5|31387|7.4972905478457825|Drama,Romance|fr
406|tt0049189|nm0000003|Brigitte Bardot|Et Dieu… créa la femme|1934.0|actress,soundtrack,music_department|1956.0|95.0|6.3|8305|6.298851306136455|Drama,Romance|fr
421|tt0054452|nm0000003|Brigitte Bardot|La Vérité|1934.0|actress,soundtrack,music_department|1960.0|128.0|7.6|3778|7.57617488407963|Drama|fr
442|tt0056404|nm0000003|Brigitte Bardot|Le repos du guerrier|1934.0|actress,soundtrack,music_department|1962.0|102.0|5.4|619|5.469043592008591|Drama,Romance|fr
1040|tt0069467|nm0000005|Ingmar Bergman|Cris et Chuchotements|1918.0|writer,director,actor|1972.0|91.0|8.0|33441|7.996516467578494|Drama|sv
1066|tt0069467|nm0880521|Liv Ullmann|Cris et Chuchotements|1938.0|actress,director,writer|1972.0|91.0|8.0|33441|7.996516467578494|Drama|sv
1072|tt0060827|nm0000005|Ingmar Bergman|Persona|1918.0|writer,director,actor|1966.0|85.0|8.1|114814|8.098929182775924|Drama,Thriller|sv
1073|tt0060827|nm0000761|Bibi Andersson|Persona|1935.0|actress,soundtrack|1966.0|85.0|8.1|114814|8.098929182775924|Drama,Thriller|sv
1092|tt0060827|nm0880521|Liv Ullmann|Persona|1938.0|actress,director,writer|1966.0|85.0|8.1|114814|8.098929182775924|Drama,Thriller|sv
1095|tt0083922|nm0000005|Ingmar Bergman|Fanny et Alexandre|1918.0|writer,director,actor|1982.0|188.0|8.1|62958|8.098048074923435|Drama|sv
1265|tt0050986|nm0000005|Ingmar Bergman|Les Fraises sauvages|1918.0|writer,director,actor|1957.0|91.0|8.2|105127|8.198770679054567|Drama,Romance|sv
1266|tt0050986|nm0000761|Bibi Andersson|Les Fraises sauvages|1935.0|actress,soundtrack|1957.0|91.0|8.2|105127|8.198770679054567|Drama,Romance|sv
1303|tt0036855|nm0000006|Ingrid Bergman|Hantise|1915.0|actress,soundtrack,producer|1944.0|114.0|7.8|28012|7.7962916377471005|Crime,Drama,Mystery|en
1306|tt0036855|nm0002030|George Cukor|Hantise|1899.0|director,miscellaneous,assistant_director|1944.0|114.0|7.8|28012|7.7962916377471005|Crime,Drama,Mystery|en
1340|tt0038109|nm0000006|Ingrid Bergman|La Maison du docteur Edwardes|1915.0|actress,soundtrack,producer|1945.0|111.0|7.5|47858|7.498221817778215|Film-Noir,Mystery,Romance|en
1341|tt0038109|nm0000060|Gregory Peck|La Maison du docteur Edwardes|1916.0|actor,producer,soundtrack|1945.0|111.0|7.5|47858|7.498221817778215|Film-Noir,Mystery,Romance|en
1370|tt0077711|nm0000006|Ingrid Bergman|Sonate d'automne|1915.0|actress,soundtrack,producer|1978.0|99.0|8.1|33442|8.09632853991195|Drama,Music|sv
1411|tt0077711|nm0880521|Liv Ullmann|Sonate d'automne|1938.0|actress,director,writer|1978.0|99.0|8.1|33442|8.09632853991195|Drama,Music|sv
1420|tt0034583|nm0000006|Ingrid Bergman|Casablanca|1915.0|actress,soundtrack,producer|1942.0|102.0|8.5|557017|8.499733947960346|Drama,Romance,War|en
1421|tt0034583|nm0000007|Humphrey Bogart|Casablanca|1899.0|actor,soundtrack,producer|1942.0|102.0|8.5|557017|8.499733947960346|Drama,Romance,War|en
1425|tt0034583|nm0002031|Michael Curtiz|Casablanca|1886.0|director,writer,actor|1942.0|102.0|8.5|557017|8.499733947960346|Drama,Romance,War|en
1472|tt0042593|nm0000007|Humphrey Bogart|Le violent|1899.0|actor,soundtrack,producer|1950.0|94.0|7.9|30749|7.8964165821676575|Drama,Film-Noir,Mystery|en
1507|tt0043265|nm0000007|Humphrey Bogart|L'Odyssée de l'African Queen|1899.0|actor,soundtrack,producer|1951.0|105.0|7.7|77566|7.69874000347486|Adventure,Drama,Romance|en
1510|tt0043265|nm0001379|John Huston|L'Odyssée de l'African Queen|1906.0|actor,director,writer|1951.0|105.0|7.7|77566|7.69874000347486|Adventure,Drama,Romance|en
1546|tt0078788|nm0000008|Marlon Brando|Apocalypse Now|1924.0|actor,soundtrack,director|1979.0|147.0|8.5|647512|8.499771127251282|Drama,Mystery,War|en
1547|tt0078788|nm0000338|Francis Ford Coppola|Apocalypse Now|1939.0|producer,director,writer|1979.0|147.0|8.5|647512|8.499771127251282|Drama,Mystery,War|en
1548|tt0078788|nm0000380|Robert Duvall|Apocalypse Now|1931.0|actor,producer,soundtrack|1979.0|147.0|8.5|647512|8.499771127251282|Drama,Mystery,War|en
1549|tt0078788|nm0000640|Martin Sheen|Apocalypse Now|1940.0|actor,producer,soundtrack|1979.0|147.0|8.5|647512|8.499771127251282|Drama,Mystery,War|en
1789|tt0068646|nm0000008|Marlon Brando|Le Parrain|1924.0|actor,soundtrack,director|1972.0|175.0|9.2|1768712|9.199891273751465|Crime,Drama|en
1791|tt0068646|nm0000199|Al Pacino|Le Parrain|1940.0|actor,producer,soundtrack|1972.0|175.0|9.2|1768712|9.199891273751465|Crime,Drama|en
1792|tt0068646|nm0000338|Francis Ford Coppola|Le Parrain|1939.0|producer,director,writer|1972.0|175.0|9.2|1768712|9.199891273751465|Crime,Drama|en
1796|tt0068646|nm0001735|Talia Shire|Le Parrain|1946.0|actress,producer,director|1972.0|175.0|9.2|1768712|9.199891273751465|Crime,Drama|en
1883|tt0070849|nm0000008|Marlon Brando|Le Dernier Tango à Paris|1924.0|actor,soundtrack,director|1972.0|129.0|6.9|53096|6.899108104549557|Drama,Romance|it
1884|tt0070849|nm0000934|Bernardo Bertolucci|Le Dernier Tango à Paris|1941.0|writer,director,producer|1972.0|129.0|6.9|53096|6.899108104549557|Drama,Romance|it
1943|tt0047296|nm0000008|Marlon Brando|Sur les quais|1924.0|actor,soundtrack,director|1954.0|108.0|8.1|151974|8.099190905698942|Crime,Drama,Thriller|en
1944|tt0047296|nm0001415|Elia Kazan|Sur les quais|1909.0|director,writer,producer|1954.0|108.0|8.1|151974|8.099190905698942|Crime,Drama,Thriller|en
1979|tt0059749|nm0000009|Richard Burton|L'Espion qui venait du froid|1925.0|actor,soundtrack,producer|1965.0|112.0|7.6|16829|7.594582508273138|Drama,Thriller|en
1999|tt0087803|nm0000009|Richard Burton|1984|1925.0|actor,soundtrack,producer|1984.0|113.0|7.1|71198|7.0991578525385535|Drama,Sci-Fi|en
2122|tt0061184|nm0000009|Richard Burton|Qui a peur de Virginia Woolf ?|1925.0|actor,soundtrack,producer|1966.0|131.0|8.0|74108|7.998426443350499|Drama|en
2124|tt0061184|nm0001566|Mike Nichols|Qui a peur de Virginia Woolf ?|1931.0|director,producer,miscellaneous|1966.0|131.0|8.0|74108|7.998426443350499|Drama|en
2141|tt0057877|nm0000009|Richard Burton|Becket|1925.0|actor,soundtrack,producer|1964.0|148.0|7.8|14580|7.792889963105229|Biography,Drama,History|en
2156|tt0042041|nm0000010|James Cagney|L'enfer est à lui|1899.0|actor,soundtrack,director|1949.0|114.0|8.1|32286|8.096197339322694|Action,Crime,Drama|en
2180|tt0042041|nm0909825|Raoul Walsh|L'enfer est à lui|1887.0|director,actor,writer|1949.0|114.0|8.1|32286|8.096197339322694|Action,Crime,Drama|en
2183|tt0035575|nm0000010|James Cagney|La Glorieuse Parade|1899.0|actor,soundtrack,director|1942.0|126.0|7.6|15349|7.59406227159031|Biography,Drama,Family|en
2211|tt0029870|nm0000010|James Cagney|Les Anges aux figures sales|1899.0|actor,soundtrack,director|1938.0|97.0|7.9|21294|7.894830160123138|Crime,Drama,Film-Noir|en
2240|tt0031867|nm0000010|James Cagney|Les Fantastiques Années 20|1899.0|actor,soundtrack,director|1939.0|106.0|7.9|13824|7.892049235237983|Crime,Drama,Film-Noir|en
2262|tt0031867|nm0909825|Raoul Walsh|Les Fantastiques Années 20|1887.0|director,actor,writer|1939.0|106.0|7.9|13824|7.892049235237983|Crime,Drama,Film-Noir|en
2264|tt0027996|nm0000011|Gary Cooper|L'Extravagant Mr. Deeds|1901.0|actor,soundtrack,producer|1936.0|115.0|7.8|21240|7.795112788327928|Comedy,Drama,Romance|en
2301|tt0034167|nm0000011|Gary Cooper|Sergent York|1901.0|actor,soundtrack,producer|1941.0|134.0|7.7|18058|7.694602269728484|Biography,Drama,History|en
2331|tt0035896|nm0000011|Gary Cooper|Pour qui sonne le glas|1901.0|actor,soundtrack,producer|1943.0|170.0|6.8|9234|6.795577899295456|Adventure,Drama,History|en
2371|tt0044706|nm0000011|Gary Cooper|Le Train Sifflera Trois Fois|1901.0|actor,soundtrack,producer|1952.0|85.0|8.0|102795|7.998865306828344|Drama,Thriller,Western|en
2373|tt0044706|nm0003593|Fred Zinnemann|Le Train Sifflera Trois Fois|1907.0|director,assistant_director,producer|1952.0|85.0|8.0|102795|7.998865306828344|Drama,Thriller,Western|en
2412|tt0042192|nm0000012|Bette Davis|Ève|1908.0|actress,soundtrack,make_up_department|1950.0|138.0|8.3|129014|8.298949369211787|Drama|en
2414|tt0042192|nm0000581|Joseph L. Mankiewicz|Ève|1909.0|writer,producer,director|1950.0|138.0|8.3|129014|8.298949369211787|Drama|en
2455|tt0056687|nm0000012|Bette Davis|Qu'est-il arrivé à Baby Jane ?|1908.0|actress,soundtrack,make_up_department|1962.0|134.0|8.0|54659|7.997867178278386|Drama,Horror,Thriller|en
2456|tt0056687|nm0000736|Robert Aldrich|Qu'est-il arrivé à Baby Jane ?|1918.0|director,assistant_director,producer|1962.0|134.0|8.0|54659|7.997867178278386|Drama,Horror,Thriller|en
2509|tt0031210|nm0000012|Bette Davis|Victoire sur la nuit|1908.0|actress,soundtrack,make_up_department|1939.0|104.0|7.5|11020|7.492311443629871|Drama,Romance|en
2525|tt0035140|nm0000012|Bette Davis|Une femme cherche son destin|1908.0|actress,soundtrack,make_up_department|1942.0|117.0|7.9|16697|7.893412155712999|Drama,Romance|en
2656|tt0031381|nm0000022|Clark Gable|Autant en Emporte le Vent|1901.0|actor,soundtrack,producer|1939.0|238.0|8.2|308780|8.199581300951454|Drama,History,Romance|en
2657|tt0031381|nm0000046|Vivien Leigh|Autant en Emporte le Vent|1913.0|actress,soundtrack,writer|1939.0|238.0|8.2|308780|8.199581300951454|Drama,History,Romance|en
2690|tt0031381|nm0281808|Victor Fleming|Autant en Emporte le Vent|1889.0|director,cinematographer,producer|1939.0|238.0|8.2|308780|8.199581300951454|Drama,History,Romance|en
2826|tt0029843|nm0002031|Michael Curtiz|Les Aventures de Robin des Bois|1886.0|director,writer,actor|1938.0|102.0|7.9|50388|7.897811494910901|Action,Adventure,Romance|en
2909|tt0048545|nm0000015|James Dean|La Fureur de vivre|1931.0|actor,miscellaneous|1955.0|111.0|7.7|89050|7.698902379335785|Drama|en
2946|tt0049261|nm0000015|James Dean|Géant|1931.0|actor,miscellaneous|1956.0|201.0|7.6|38025|7.59759734640175|Drama,Western|en
3000|tt0049261|nm0828419|George Stevens|Géant|1904.0|cinematographer,director,writer|1956.0|201.0|7.6|38025|7.59759734640175|Drama,Western|en
3023|tt0048028|nm0000015|James Dean|À l'est d'Eden|1931.0|actor,miscellaneous|1955.0|118.0|7.8|44772|7.7976778795528014|Drama|en
3024|tt0048028|nm0001415|Elia Kazan|À l'est d'Eden|1909.0|director,writer,producer|1955.0|118.0|7.8|44772|7.7976778795528014|Drama|en
